2016-Oct-04 21:43:01,816 INFO  [MDP_MyCustomisedLogs] Launching Browser < Chrome > 
2016-Oct-04 21:43:03,289 INFO  [MDP_MyCustomisedLogs] New Chrome driver instantiated 
2016-Oct-04 21:43:03,301 INFO  [MDP_MyCustomisedLogs] ********************************************************************************** 
2016-Oct-04 21:43:03,301 INFO  [MDP_MyCustomisedLogs] ********************************************************************************** 
2016-Oct-04 21:43:03,301 INFO  [MDP_MyCustomisedLogs] $$$$$$$$$$$     Starts executing Test case ID        verifyPostCodePopUp          $$$$$$$$$$$$$ 
2016-Oct-04 21:43:03,301 INFO  [MDP_MyCustomisedLogs] ********************************************************************************** 
2016-Oct-04 21:43:03,302 INFO  [MDP_MyCustomisedLogs] ********************************************************************************** 
2016-Oct-04 21:43:07,349 INFO  [MDP_MyCustomisedLogs] navigated to http://localhost:3200/ 
2016-Oct-04 21:43:08,052 INFO  [MDP_MyCustomisedLogs] ********************************************************************************** 
2016-Oct-04 21:43:08,052 INFO  [MDP_MyCustomisedLogs] ********************************************************************************** 
2016-Oct-04 21:43:08,052 INFO  [MDP_MyCustomisedLogs] $$$$$$$$$$$     Starts executing Test case ID        TC_PC_001          $$$$$$$$$$$$$ 
2016-Oct-04 21:43:08,052 INFO  [MDP_MyCustomisedLogs] ********************************************************************************** 
2016-Oct-04 21:43:08,052 INFO  [MDP_MyCustomisedLogs] ********************************************************************************** 
2016-Oct-04 21:43:09,030 INFO  [MDP_MyCustomisedLogs] Clicked on Post Code icon on the footer 
2016-Oct-04 21:43:09,173 INFO  [MDP_MyCustomisedLogs] entered post code : 2000 
2016-Oct-04 21:43:10,730 INFO  [MDP_MyCustomisedLogs] Clicked on Submit button post code pop up > 
2016-Oct-04 21:43:10,764 INFO  [MDP_MyCustomisedLogs] Location is not set to correct post code : 2000 
2016-Oct-04 21:43:11,490 INFO  [MDP_MyCustomisedLogs] XXXXXXXXXXXXXXXXXXXXXXX             Ends Test Case ID Post Code Pop Up             XXXXXXXXXXXXXXXXXXXXXX 
